state,species,taxon_general,taxon_specific,Ranking,Notes,acceptedName
california,Hesperocyparis abramsiana,Plants,NA,E,NA,Cupressus goveniana
california,Hesperolinon didymocarpum,Plants,NA,E,NA,Hesperolinon didymocarpum
california,Holocarpha macradenia,Plants,NA,E,NA,Holocarpha macradenia
california,Lasthenia burkei,Plants,NA,E,NA,Lasthenia burkei
california,Layia carnosa,Plants,NA,E,NA,Layia carnosa
california,Leptosiphon croceus,Plants,NA,E,NA,Leptosiphon croceus
california,Lessingia germanorum,Plants,NA,E,NA,Lessingia germanorum
california,Lilium occidentale,Plants,NA,E,NA,Lilium occidentale
california,Lilium pardalinum,Plants,NA,E,NA,Lilium pardalinum
california,Limnanthes alba,Plants,NA,E,NA,Limnanthes alba
california,Limnanthes douglasii,Plants,NA,E,NA,Limnanthes douglasii
california,Limnanthes floccosa,Plants,NA,E,NA,Limnanthes floccosa
california,Limnanthes vinculans,Plants,NA,E,NA,Limnanthes vinculans
california,Lithophragma maximum,Plants,NA,E,NA,Lithophragma maxima
california,Lupinus constancei,Plants,NA,E,NA,Lupinus constancei
california,Lupinus nipomensis,Plants,NA,E,NA,Lupinus nipomensis
california,Lupinus tidestromii,Plants,NA,E,NA,Lupinus tidestromii
california,Malacothamnus clementinus,Plants,NA,E,NA,Malacothamnus clementinus
california,Malacothamnus fasciculatus,Plants,NA,E,NA,Malacothamnus fasciculatus
california,Monardella viminea,Plants,NA,E,NA,Monardella viminea
california,Navarretia leucocephala,Plants,NA,E,NA,Navarretia leucocephala
california,Neostapfia colusana,Plants,NA,E,NA,Neostapfia colusana
california,Nitrophila mohavensis,Plants,NA,E,NA,Nitrophila mohavensis
california,Nolina interrata,Plants,NA,E,NA,Nolina interrata
california,Oenothera deltoides,Plants,NA,E,NA,Oenothera deltoides
california,Opuntia basilaris,Plants,NA,E,NA,Opuntia basilaris
california,Orcuttia californica,Plants,NA,E,NA,Orcuttia californica
california,Orcuttia inaequalis,Plants,NA,E,NA,Orcuttia inaequalis
california,Orcuttia pilosa,Plants,NA,E,NA,Orcuttia pilosa
california,Orcuttia tenuis,Plants,NA,E,NA,Orcuttia tenuis
california,Orcuttia viscida,Plants,NA,E,NA,Orcuttia viscida
california,Ornithostaphylos oppositifolia,Plants,NA,E,NA,Ornithostaphylos oppositifolia
california,Panicum acuminatum,Plants,NA,E,NA,Panicum acuminatum
california,Pentachaeta bellidiflora,Plants,NA,E,NA,Pentachaeta bellidiflora
california,Pentachaeta lyonii,Plants,NA,E,NA,Pentachaeta lyonii
california,Phlox hirsuta,Plants,NA,E,NA,Phlox hirsuta
california,Plagiobothrys diffusus,Plants,NA,E,NA,Plagiobothrys torreyi
california,Poa napensis,Plants,NA,E,NA,Poa napensis
california,Pogogyne abramsii,Plants,NA,E,NA,Pogogyne abramsii
california,Pogogyne clareana,Plants,NA,E,NA,Pogogyne clareana
california,Pogogyne nudiuscula,Plants,NA,E,NA,Pogogyne nudiuscula
california,Polygonum hickmanii,Plants,NA,E,NA,Polygonum hickmanii
california,Potentilla hickmanii,Plants,NA,E,NA,Potentilla hickmanii
california,Pseudobahia bahiifolia,Plants,NA,E,NA,Pseudobahia bahiifolia
california,Pseudobahia peirsonii,Plants,NA,E,NA,Pseudobahia peirsonii
california,Rorippa subumbellata,Plants,NA,E,NA,Rorippa subumbellata
california,Rosa minutifolia,Plants,NA,E,NA,Rosa minutifolia
california,Sedella leiocarpa,Plants,NA,E,NA,Sedella leiocarpa
california,Sidalcea covillei,Plants,NA,E,NA,Sidalcea covillei
california,Sidalcea oregana,Plants,NA,E,NA,Sidalcea oregana
california,Sidalcea pedata,Plants,NA,E,NA,Sidalcea pedata
california,Sidalcea stipularis,Plants,NA,E,NA,Sidalcea stipularis
california,Silene campanulata,Plants,NA,E,NA,Silene campanulata
california,Streptanthus glandulosus,Plants,NA,E,NA,Streptanthus glandulosus
california,Thelypodium stenopetalum,Plants,NA,E,NA,Thelypodium stenopetalum
california,Trifolium trichocalyx,Plants,NA,E,NA,Trifolium trichocalyx
california,Gambelia sila,Reptiles,Lizards,E,NA,Gambelia sila
california,Uma inornata,Reptiles,Lizards,E,NA,Uma inornata
california,Thamnophis sirtalis,Reptiles,Snakes,E,NA,Thamnophis sirtalis
colorado,Bufo boreas,Amphibians,Frogs/Toads,E,NA,Anaxyrus boreas
colorado,Sterna antillarum,Birds,NA,E,NA,Sternula antillarum
colorado,Tympanuchus phasianellus,Birds,NA,E,NA,Tympanuchus phasianellus
colorado,?Empidonax traillii,Birds,NA,E,NA,NA
colorado,Grus americana,Birds,NA,E,NA,Grus americana
colorado,Gila elegans,Fish,NA,E,NA,Gila elegans
colorado,Couesius plumbeus,Fish,NA,E,NA,Couesius plumbeus
colorado,Hybognathus placitus,Fish,NA,E,NA,Hybognathus placitus
