state,species,taxon_general,taxon_specific,status,recorder,Use this link to get federally listed species in each state ->,https://ecos.fws.gov/ecp0/reports/species-listed-by-state-totals-report,,,,,,,,,,,,,,,,,,
Arizona,Meda fulgida,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Lepidomeda vittata,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pyrgulopsis bernardina,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pyrgulopsis trivialis,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Tamiasciurus hudsonicus grahamensis,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Xyrauchen texanus,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Catostomus discobolus yarrowi,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Sterna antillarum browni,Birds,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Poeciliopsis occidentalis,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Gopherus agassizii,Reptiles,Turtles,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Oncorhynchus apache,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Oncorhynchus gilae,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Kinosternon sonoriense longifemorale,Reptiles,Turtles,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Canis lupus baileyi,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Plagopterus argentissimus,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Amsonia kearneyana,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Echinomastus erectocentrus var. acunensis,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Echinocereus triglochidiatus var. arizonicus,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pediocactus bradyi,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Coryphantha robbinsiorum,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pediocactus peeblesianus fickeiseniae,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Echinocactus horizonthalonius var. nicholii,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pediocactus peeblesianus var. peeblesianus,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Coryphantha scheeri var. robustispina,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Pediocactus sileri,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Purshia subintegra,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Cycladenia humilis var. jonesii,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Erigeron rhizomatus,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Spiranthes delitescens,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Sphaeralcea gierischii,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Astragalus holmgreniorum,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Astragalus cremnophylax var. cremnophylax,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Asclepias welshii,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Packera franciscana,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Carex specuicola,Plants,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arizona,Lilaeopsis schaffneriana var. recurva,Plants,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Myotis grisescens,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Myotis sodalis,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Myotis septentrionalis,Mammals,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Corynorhinus townsendii ingens,Mammals,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Nicrophorus americanus,Invertebrates,Insects,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Epioblasma turgidula,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Amblyopsis rosae,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Cambarus aculabrum,Invertebrates,Crustaceans,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Cambarus zophonastes,Invertebrates,Crustaceans,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Percina pantherina,Fish,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Etheostoma moorei,Fish,,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Lampsilis powellii,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Cryptobranchus alleganiensis bishopi,Amphibians,Salamanders,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Calidris canutus rufa,Birds,,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Quadrula fragosa,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Lampsilis rafinesqueana,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Leptodea leptodon,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Epioblasma triquetra,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Margaritifera hembeli,Invertebrates,Mollusks,T,Theresa,,,,,,,,,,,,,,,,,,,,
Arkansas,Epioblasma florentina curtisii,Invertebrates,Mollusks,E,Theresa,,,,,,,,,,,,,,,,,,,,
