state,species,taxon_general,taxon_specific,Ranking,Notes,,
California ,Arctostaphylos pallida,Plants,,E,,,
California ,Arenaria paludicola,Plants,,E,,,
California ,Astragalus agnicidus,Plants,,E,,,
California ,Astragalus lentiginosus var. sesquimetralis,Plants,,E,,,
California ,Astragalus magdalenae var. peirsonii,Plants,,E,,,
California ,Astragalus pycnostachyus  var. lanosissimus,Plants,,E,,,
California ,Astragalus tener  var. titi,Plants,,E,,,
California ,Atriplex tularensis,Plants,,E,,,
California ,Baccharis vanessae,Plants,,E,,,
California ,Berberis nevinii,Plants,,E,,,
California ,Berberis pinnata  ssp. insularis,Plants,,E,,,
California ,Blennosperma bakeri,Plants,,E,,,
California ,Brodiaea filifolia,Plants,,E,,,
California ,Brodiaea insignis,Plants,,E,,,
California ,Brodiaea pallida,Plants,,E,,,
California ,Brodiaea rosea,Plants,,E,,,
California ,Calystegia stebbinsii,Plants,,E,,,
California ,Carex albida,Plants,,E,,,
California ,Castilleja campestris var. succulenta,Plants,,E,,,
California ,Castilleja grisea,Plants,,E,,,
California ,Castilleja uliginosa,Plants,,E,,,
California ,Caulanthus californicus,Plants,,E,,,
California ,Ceanothus ophiochilus,Plants,,E,,,
California ,Cercocarpus traskiae,Plants,,E,,,
California ,Chloropyron maritimum  ssp. maritimum,Plants,,E,,,
California ,Chloropyron palmatum,Plants,,E,,,
California ,Chorizanthe orcuttiana,Plants,,E,,,
California ,Chorizanthe parryi  var. fernandina,Plants,,E,,,
California ,Chorizanthe valida,Plants,,E,,,
California ,Cirsium ciliolatum,Plants,,E,,,
California ,Cirsium fontinale  var. fontinale,Plants,,E,,,
California ,Cirsium fontinale  var. obispoense,Plants,,E,,,
California ,Clarkia franciscana,Plants,,E,,,
California ,Clarkia imbricata,Plants,,E,,,
California ,Clarkia lingulata,Plants,,E,,,
California ,Clarkia springvillensis,Plants,,E,,,
California ,Cordylanthus rigidus ssp. littoralis,Plants,,E,,,
California ,Deinandra bacigalupii,Plants,,E,,,
California ,Deinandra conjugens,Plants,,E,,,
California ,Deinandra increscens ssp. villosa,Plants,,E,,,
California ,Deinandra mohavensis,Plants,,E,,,
California ,Delphinium bakeri,Plants,,E,,,
California ,Delphinium variegatum ssp. kinkiense,Plants,,E,,,
California ,Dodecahema leptoceras,Plants,,E,,,
California ,Downingia concolor var. brevior,Plants,,E,,,
California ,Dudleya brevifolia,Plants,,E,,,
California ,Dudleya traskiae,Plants,,E,,,
California ,Eriastrum densifolium ssp. sanctorum,Plants,,E,,,
California ,Eriodictyon altissimum,Plants,,E,,,
California ,Eriogonum alpinum,Plants,,E,,,
California ,Eriogonum apricum var. apricum,Plants,,E,,,
California ,Eriogonum apricum var. prostratum,Plants,,E,,,
California ,Eriogonum grande  var. timorum,Plants,,E,,,
California ,Eriogonum kelloggii,Plants,,E,,,
California ,Eriogonum thornei,Plants,,E,,,
California ,Eriophyllum latilobum,Plants,,E,,,
California ,Eryngium aristulatum var. parishii,Plants,,E,,,
California ,Eryngium constancei,Plants,,E,,,
California ,Eryngium racemosum,Plants,,E,,,
California ,Erysimum capitatum var. angustatum,Plants,,E,,,
California ,Erysimum menziesii,Plants,,E,,,
California ,Fritillaria roderickii,Plants,,E,,,
California ,Galium catalinense  ssp. acrispum,Plants,,E,,,
California ,Gratiola heterosepala,Plants,,E,,,
California ,Helianthus niveus  ssp. tephrodes,Plants,,E,,,
California ,Hesperocyparis abramsiana  var. abramsiana,Plants,,E,,,
California ,Hesperocyparis abramsiana  var. butanoensis,Plants,,E,,,
California ,Hesperolinon didymocarpum,Plants,,E,,,
California ,Holocarpha macradenia,Plants,,E,,,
California ,Lasthenia burkei,Plants,,E,,,
California ,Layia carnosa,Plants,,E,,,
California ,Leptosiphon croceus,Plants,,E,,,
California ,Lessingia germanorum,Plants,,E,,,
California ,Lilium occidentale,Plants,,E,,,
California ,Lilium pardalinum  ssp. pitkinense,Plants,,E,,,
California ,Limnanthes alba  ssp. parishii,Plants,,E,,,
California ,Limnanthes douglasii ssp. sulphurea,Plants,,E,,,
California ,Limnanthes floccosa ssp. californica,Plants,,E,,,
California ,Limnanthes vinculans,Plants,,E,,,
California ,Lithophragma maximum,Plants,,E,,,
California ,Lupinus constancei,Plants,,E,,,
California ,Lupinus nipomensis,Plants,,E,,,
California ,Lupinus tidestromii,Plants,,E,,,
California ,Malacothamnus clementinus,Plants,,E,,,
California ,Malacothamnus fasciculatus  var. nesioticus,Plants,,E,,,
California ,Monardella viminea,Plants,,E,,,
California ,Navarretia leucocephala  ssp. plieantha,Plants,,E,,,
California ,Neostapfia colusana,Plants,,E,,,
California ,Nitrophila mohavensis,Plants,,E,,,
California ,Nolina interrata,Plants,,E,,,
California ,Oenothera deltoides ssp. howellii,Plants,,E,,,
California ,Opuntia basilaris  var. treleasei,Plants,,E,,,
California ,Orcuttia californica,Plants,,E,,,
California ,Orcuttia inaequalis,Plants,,E,,,
California ,Orcuttia pilosa,Plants,,E,,,
California ,Orcuttia tenuis,Plants,,E,,,
California ,Orcuttia viscida,Plants,,E,,,
California ,Ornithostaphylos oppositifolia,Plants,,E,,,
California ,Panicum acuminatum var. thermale,Plants,,E,,,
California ,Pentachaeta bellidiflora,Plants,,E,,,
California ,Pentachaeta lyonii,Plants,,E,,,
California ,Phlox hirsuta,Plants,,E,,,
California ,Plagiobothrys diffusus,Plants,,E,,,
California ,Poa napensis,Plants,,E,,,
California ,Pogogyne abramsii,Plants,,E,,,
California ,Pogogyne clareana,Plants,,E,,,
California ,Pogogyne nudiuscula,Plants,,E,,,
California ,Polygonum hickmanii,Plants,,E,,,
California ,Potentilla hickmanii,Plants,,E,,,
California ,Pseudobahia bahiifolia,Plants,,E,,,
California ,Pseudobahia peirsonii,Plants,,E,,,
California ,Rorippa subumbellata,Plants,,E,,,
California ,Rosa minutifolia,Plants,,E,,,
California ,Sedella leiocarpa,Plants,,E,,,
California ,Sidalcea covillei,Plants,,E,,,
California ,Sidalcea oregana  ssp. valida,Plants,,E,,,
California ,Sidalcea pedata,Plants,,E,,,
California ,Sidalcea stipularis,Plants,,E,,,
California ,Silene campanulata ssp. campanulata,Plants,,E,,,
California ,Streptanthus glandulosus  ssp. niger,Plants,,E,,,
California ,Thelypodium stenopetalum,Plants,,E,,,
California ,Trifolium trichocalyx,Plants,,E,,,
California ,Gambelia sila,Reptiles,Lizards,E,,,
California ,Uma inornata,Reptiles,Lizards,E,,,
California ,Thamnophis sirtalis tetrataenia,Reptiles,Snakes,E,,,
Colorado ,Bufo boreas boreas,Amphibians,Frogs/Toads,E,,,
Colorado ,Sterna antillarum,Birds,,E,,,
Colorado ,Tympanuchus phasianellus jamesii,Birds,,E,,,
Colorado ,?Empidonax traillii extimus,Birds,,E,,,
Colorado ,Grus americana,Birds,,E,,,
Colorado ,Gila elegans,Fish,,E,,,
Colorado ,Couesius plumbeus,Fish,,E,,,
Colorado ,?Phoxinus eos,Fish,,E,,,
Colorado ,Hybognathus placitus,Fish,,E,,,
Colorado ,?Catostomus plebeius,Fish,,E,,,
Colorado ,?Xyrauchen texanus,Fish,,E,,,
Colorado ,Phoxinus erythrogaster,Fish,,E,,,
Colorado ,Phenacobius mirabilis,Fish,,E,,,
Colorado ,Grus americana,Mammals,,E,,,
Colorado ,Canis lupus,Mammals,,E,,,
Colorado ,Ursus arctos,Mammals,,E,,,
Colorado ,?Vulpes macrotis,Mammals,,E,,,
Colorado ,?Lynx canadensis,Mammals,,E,,,
Colorado ,Gulo gulo,Mammals,,E,,,
Connecticut,Ambystoma laterale,Amphibians,Salamders,E,,,
Connecticut,Scaphiopus holbrookii,Amphibians,Frogs/Toads,E,,,
Connecticut,Accipiter striatus,Birds,,E,,,
Connecticut,Ammodramus savannarum,Birds,,E,,,
Connecticut,Asio otus,Birds,,E,,,
Connecticut,Bartramia longicauda,Birds,,E,,,
Connecticut,Botaurus lentiginosus,Birds,,E,,,
Connecticut,Chordeiles minor,Birds,,E,,,
Connecticut,Circus cyaneus,Birds,,E,,,
Connecticut,Cistothorus platensis,Birds,,E,,,
Connecticut,Eremophila alpestris,Birds,,E,,,
Connecticut,Gallinula chloropus,Birds,,E,,,
Connecticut,Icteria virens,Birds,,E,,,
Connecticut,Melanerpes erythrocephalus,Birds,,E,,,
Connecticut,Sterna dougallii,Birds,,E,,,
Connecticut,Tyto alba,Birds,,E,,,
Connecticut,Vermivora chrysoptera,Birds,,E,,,
Connecticut,Acipenser brevirostrum,Fish,,E,,,
Connecticut,Acipenser oxyrinchus oxyrinchus,Fish,,E,,,
Connecticut,Lethenteron appendix,Fish,,E,,,
Connecticut,Lota lota,Fish,,E,,,
Connecticut,Osmerus mordax,Fish,,E,,,
Connecticut,Amblyscirtes vialis,Invertebrates,Insects,E,,,
Connecticut,Anarta luteola,Invertebrates,Insects,E,,,
Connecticut,Apodrepanulatrix liberaria,Invertebrates,Insects,E,,,
Connecticut,Calephelis borealis,Invertebrates,Insects,E,,,
Connecticut,Callophrys hesseli,Invertebrates,Insects,E,,,
Connecticut,Catocala herodias gerhardi,Invertebrates,Insects,E,,,
Connecticut,Celastrina neglectamajor,Invertebrates,Insects,E,,,
Connecticut,Chytonix sensilis,Invertebrates,Insects,E,,,
Connecticut,Cicindela lepida,Invertebrates,Insects,E,,,
Connecticut,Cicindela puritana,Invertebrates,Insects,E,,,
Connecticut,Epeoloides pilosula,Invertebrates,Insects,E,,,
Connecticut,Erynnis lucilius,Invertebrates,Insects,E,,,
Connecticut,Erynnis persius persius,Invertebrates,Insects,E,,,
Connecticut,Eubaphe meridiana,Invertebrates,Insects,E,,,
Connecticut,Euphyes bimacula,Invertebrates,Insects,E,,,
Connecticut,Grammia phyllira,Invertebrates,Insects,E,,,
Connecticut,Grammia speciosa,Invertebrates,Insects,E,,,
Connecticut,Haematopota rara,Invertebrates,Insects,E,,,
Connecticut,Hemileuca maia maia,Invertebrates,Insects,E,,,
Connecticut,Hybomitra longiglossa,Invertebrates,Insects,E,,,
Connecticut,Magicicada septendecula,Invertebrates,Insects,E,,,
Connecticut,Papaipema leucostigma,Invertebrates,Insects,E,,,
Connecticut,Papaipema marginidens,Invertebrates,Insects,E,,,
Connecticut,Phyllonorycter ledella,Invertebrates,Insects,E,,,
Connecticut,Schinia gracilenta,Invertebrates,Insects,E,,,
Connecticut,Speyeria atlantis,Invertebrates,Insects,E,,,
Connecticut,Tibicen auletes,Invertebrates,Insects,E,,,
Connecticut,Williamsonia lintneri,Invertebrates,Insects,E,,,
Connecticut,Zale curema,Invertebrates,Insects,E,,,
Connecticut,Alasmidonta heterodon,Invertebrates,Mollusks,E,,,
Connecticut,Alasmidonta varicosa,Invertebrates,Mollusks,E,,,
Connecticut,Eubranchipus holmanii,Invertebrates,Crustaceans,E,,,
Connecticut,Lampsilis cariosa,Invertebrates,Mollusks,E,,,
Connecticut,Cryptotis parva,Mammals,,E,,,
Connecticut,Myotis leibii,Mammals,,E,,,
Connecticut,Myotis lucifugus,Mammals,,E,,,
Connecticut,Myotis septentrionalis,Mammals,,E,,,
Connecticut,Myotis sodalis,Mammals,,E,,,
Connecticut,Perimyotis subflavus,Mammals,,E,,,
Connecticut,Abies balsamea,Plants,,E,,,
Connecticut,Agalinis acuta,Plants,,E,,,
Connecticut,Agastache nepetoides,Plants,,E,,,
Connecticut,Agastache scrophulariifolia,Plants,,E,,,
